model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.92,0.92,0.92,0.9,0.94,0.0153718865475336,0.92,0.92,0.9,0.94,0.0141421356237309,0.7075
order_bias_gpt-4o_en,0.91,0.9,0.91,0.89,0.94,0.0205585570701864,0.9,0.91,0.89,0.94,0.0187082869338696,0.71
order_bias_mistral-small_en,0.875,0.88,0.88,0.87,0.87,0.0057142857142857,0.88,0.88,0.87,0.87,0.005,0.715
order_bias_mistral-small_zh,0.8075,0.8,0.8,0.83,0.8,0.016087159203426,0.8,0.8,0.83,0.8,0.0129903810567665,0.665
order_bias_mistral-small_cot_en,0.9,0.89,0.89,0.91,0.91,0.0111111111111111,0.89,0.89,0.91,0.91,0.01,0.7125
order_bias_mistral-small_cot_zh,0.8725,0.84,0.89,0.89,0.87,0.0234537328706947,0.84,0.89,0.89,0.87,0.0204633819296811,0.685
new_0.2_order_bias_mistral-small_cot_en,0.8375,0.84,0.84,0.84,0.83,0.005170300918116,0.84,0.84,0.84,0.83,0.0043301270189221,0.7075
new_0.2_order_bias_mistral-small_cot_zh,0.7725,0.72,0.79,0.81,0.77,0.0432980199361154,0.72,0.79,0.81,0.77,0.0334477204006491,0.6675
new_0.459_order_bias_mistral-small_cot_en,0.8875,0.88,0.88,0.9,0.89,0.0093426050432546,0.88,0.88,0.9,0.89,0.0082915619758885,0.72
new_0.459_order_bias_mistral-small_cot_zh,0.86,0.83,0.88,0.88,0.85,0.0246665156227865,0.83,0.88,0.88,0.85,0.0212132034355964,0.69
