model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8375,0.84,0.83,0.82,0.86,0.0176599396510436,0.84,0.83,0.82,0.86,0.014790199457749,0.6775
order_bias_gpt-4o_en,0.875,0.87,0.85,0.88,0.9,0.0206031501455085,0.87,0.85,0.88,0.9,0.0180277563773199,0.7
order_bias_mistral-small_en,0.845,0.82,0.87,0.85,0.84,0.0213346229317396,0.82,0.87,0.85,0.84,0.0180277563773199,0.7075
order_bias_mistral-small_zh,0.7725,0.79,0.78,0.75,0.77,0.0191458892656945,0.79,0.78,0.75,0.77,0.014790199457749,0.6625
order_bias_mistral-small_cot_en,0.85,0.85,0.85,0.86,0.84,0.008318903308077,0.85,0.85,0.86,0.84,0.0070710678118654,0.6825
order_bias_mistral-small_cot_zh,0.79,0.74,0.81,0.83,0.78,0.0429261391337042,0.74,0.81,0.83,0.78,0.0339116499156263,0.67
new_0.2_order_bias_mistral-small_cot_en,0.84,0.84,0.84,0.84,0.84,0.0,0.84,0.84,0.84,0.84,0.0,0.69
new_0.2_order_bias_mistral-small_cot_zh,0.7625,0.74,0.78,0.78,0.75,0.0234145194378454,0.74,0.78,0.78,0.75,0.0178535710713571,0.6725
new_0.459_order_bias_mistral-small_cot_en,0.855,0.85,0.85,0.87,0.85,0.010128952091046,0.85,0.85,0.87,0.85,0.0086602540378443,0.6825
new_0.459_order_bias_mistral-small_cot_zh,0.7875,0.74,0.81,0.82,0.78,0.0395234907872658,0.74,0.81,0.82,0.78,0.0311247489949718,0.6675
