model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.825,0.81,0.81,0.84,0.84,0.0181818181818181,0.81,0.81,0.84,0.84,0.0149999999999999,0.71
order_bias_gpt-4o_en,0.83,0.81,0.84,0.83,0.84,0.0147559623059227,0.81,0.84,0.83,0.84,0.0122474487139158,0.705
order_bias_mistral-small_en,0.7475,0.73,0.74,0.78,0.74,0.0256894506617679,0.73,0.74,0.78,0.74,0.0192028643696715,0.6675
order_bias_mistral-small_zh,0.7075,0.66,0.71,0.77,0.69,0.0568674096799684,0.66,0.71,0.77,0.69,0.0402336923485777,0.6625
order_bias_mistral-small_cot_en,0.72,0.68,0.75,0.74,0.71,0.0380362887156365,0.68,0.75,0.74,0.71,0.0273861278752582,0.6725
order_bias_mistral-small_cot_zh,0.7,0.69,0.73,0.72,0.66,0.0391230398217975,0.69,0.73,0.72,0.66,0.0273861278752582,0.6625
new_0.2_order_bias_mistral-small_cot_en,0.6475,0.62,0.68,0.66,0.63,0.0368316293983377,0.62,0.68,0.66,0.63,0.0238484800354236,0.66
new_0.2_order_bias_mistral-small_cot_zh,0.6625,0.68,0.67,0.67,0.63,0.0289854556523343,0.68,0.67,0.67,0.63,0.0192028643696715,0.6575
new_0.459_order_bias_mistral-small_cot_en,0.71,0.67,0.74,0.73,0.7,0.038572011091913,0.67,0.74,0.73,0.7,0.0273861278752582,0.67
new_0.459_order_bias_mistral-small_cot_zh,0.6875,0.68,0.71,0.71,0.65,0.0361813613493315,0.68,0.71,0.71,0.65,0.0248746859276654,0.6625
