model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8825,0.86,0.88,0.9,0.89,0.0167594328133133,0.86,0.88,0.9,0.89,0.014790199457749,0.7125
order_bias_gpt-4o_en,0.885,0.9,0.85,0.88,0.91,0.0258902581635923,0.9,0.85,0.88,0.91,0.0229128784747792,0.725
order_bias_mistral-small_en,0.75,0.72,0.75,0.77,0.76,0.0249443825784929,0.72,0.75,0.77,0.76,0.0187082869338697,0.675
order_bias_mistral-small_zh,0.735,0.7,0.73,0.77,0.74,0.0340136054421769,0.7,0.73,0.77,0.74,0.025,0.68
order_bias_mistral-small_cot_en,0.79,0.79,0.77,0.82,0.78,0.0236813758656578,0.79,0.77,0.82,0.78,0.0187082869338696,0.6725
order_bias_mistral-small_cot_zh,0.74,0.69,0.76,0.76,0.75,0.0393983236138196,0.69,0.76,0.76,0.75,0.0291547594742265,0.6675
new_0.2_order_bias_mistral-small_cot_en,0.77,0.78,0.75,0.8,0.75,0.0275496148514239,0.78,0.75,0.8,0.75,0.0212132034355964,0.6625
new_0.2_order_bias_mistral-small_cot_zh,0.7275,0.7,0.73,0.73,0.75,0.0245409911633775,0.7,0.73,0.73,0.75,0.0178535710713571,0.6775
new_0.459_order_bias_mistral-small_cot_en,0.795,0.79,0.78,0.82,0.79,0.0188679245283018,0.79,0.78,0.82,0.79,0.0149999999999999,0.6725
new_0.459_order_bias_mistral-small_cot_zh,0.74,0.69,0.76,0.76,0.75,0.0393983236138196,0.69,0.76,0.76,0.75,0.0291547594742265,0.6675
