model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8475,0.84,0.84,0.86,0.85,0.0097835539538507,0.84,0.84,0.86,0.85,0.0082915619758885,0.7175
order_bias_gpt-4o_en,0.915,0.88,0.88,0.96,0.94,0.0390241990630756,0.88,0.88,0.96,0.94,0.0357071421427142,0.7025
order_bias_mistral-small_en,0.88,0.9,0.91,0.87,0.84,0.0311205998582481,0.9,0.91,0.87,0.84,0.0273861278752583,0.7025
order_bias_mistral-small_zh,0.8125,0.77,0.86,0.85,0.77,0.0524883757207137,0.77,0.86,0.85,0.77,0.0426468052730799,0.6925
order_bias_mistral-small_cot_en,0.8625,0.82,0.87,0.9,0.86,0.0331754293978539,0.82,0.87,0.9,0.86,0.028613807855649,0.7025
order_bias_mistral-small_cot_zh,0.81,0.75,0.86,0.85,0.78,0.0572445586141709,0.75,0.86,0.85,0.78,0.0463680924774785,0.6875
new_0.2_order_bias_mistral-small_cot_en,0.8275,0.81,0.84,0.85,0.81,0.021575312472939,0.81,0.84,0.85,0.81,0.017853571071357,0.6925
new_0.2_order_bias_mistral-small_cot_zh,0.7,0.66,0.74,0.73,0.67,0.0505076272276105,0.66,0.74,0.73,0.67,0.0353553390593273,0.67
new_0.459_order_bias_mistral-small_cot_en,0.84,0.81,0.84,0.88,0.83,0.0303513066285284,0.81,0.84,0.88,0.83,0.0254950975679639,0.705
new_0.459_order_bias_mistral-small_cot_zh,0.7875,0.73,0.84,0.83,0.75,0.0611471755055816,0.73,0.84,0.83,0.75,0.0481534007106455,0.68
