model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8725,0.84,0.88,0.86,0.91,0.0296391989478183,0.84,0.88,0.86,0.91,0.0258602010819715,0.7125
order_bias_gpt-4o_en,0.9075,0.86,0.92,0.94,0.91,0.0324788598417399,0.86,0.92,0.94,0.91,0.0294745653063789,0.72
order_bias_mistral-small_en,0.815,0.79,0.82,0.83,0.82,0.01840490797546,0.79,0.82,0.83,0.82,0.0149999999999999,0.695
order_bias_mistral-small_zh,0.7525,0.76,0.78,0.74,0.73,0.0255187566374372,0.76,0.78,0.74,0.73,0.0192028643696715,0.6775
order_bias_mistral-small_cot_en,0.8325,0.8,0.83,0.86,0.84,0.0260067688824155,0.8,0.83,0.86,0.84,0.0216506350946109,0.7075
order_bias_mistral-small_cot_zh,0.7425,0.72,0.75,0.77,0.73,0.0258624435955172,0.72,0.75,0.77,0.73,0.0192028643696715,0.695
new_0.2_order_bias_mistral-small_cot_en,0.78,0.75,0.79,0.81,0.77,0.0286675381730742,0.75,0.79,0.81,0.77,0.0223606797749979,0.6825
new_0.2_order_bias_mistral-small_cot_zh,0.7325,0.71,0.72,0.77,0.73,0.0310936299629498,0.71,0.72,0.77,0.73,0.0227760839478607,0.6925
new_0.459_order_bias_mistral-small_cot_en,0.8275,0.8,0.83,0.85,0.83,0.021575312472939,0.8,0.83,0.85,0.83,0.0178535710713571,0.7075
new_0.459_order_bias_mistral-small_cot_zh,0.7475,0.72,0.76,0.78,0.73,0.0319043211176236,0.72,0.76,0.78,0.73,0.0238484800354236,0.695
