model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.785,0.75,0.74,0.81,0.84,0.0529084322478858,0.75,0.74,0.81,0.84,0.0415331193145903,0.6675
order_bias_gpt-4o_en,0.8275,0.77,0.8,0.88,0.86,0.0536200584570962,0.77,0.8,0.88,0.86,0.0443705983732471,0.695
order_bias_mistral-small_en,0.775,0.71,0.8,0.84,0.75,0.0635410180761039,0.71,0.8,0.84,0.75,0.0492442890089805,0.6475
order_bias_mistral-small_zh,0.6575,0.59,0.63,0.7,0.71,0.0755688475830866,0.59,0.63,0.7,0.71,0.0496865172858794,0.6225
order_bias_mistral-small_cot_en,0.7625,0.71,0.76,0.78,0.8,0.0438658628205234,0.71,0.76,0.78,0.8,0.0334477204006491,0.65
order_bias_mistral-small_cot_zh,0.6875,0.59,0.69,0.73,0.74,0.0862822583105794,0.59,0.69,0.73,0.74,0.0593190525885233,0.64
new_0.2_order_bias_mistral-small_cot_en,0.68,0.64,0.71,0.67,0.7,0.0402737174636151,0.64,0.71,0.67,0.7,0.0273861278752582,0.625
new_0.2_order_bias_mistral-small_cot_zh,0.6225,0.58,0.61,0.66,0.64,0.0486921913774383,0.58,0.61,0.66,0.64,0.0303108891324553,0.635
new_0.459_order_bias_mistral-small_cot_en,0.7425,0.69,0.74,0.76,0.78,0.0450474348830291,0.69,0.74,0.76,0.78,0.0334477204006491,0.6525
new_0.459_order_bias_mistral-small_cot_zh,0.6775,0.58,0.67,0.72,0.74,0.0912118604745998,0.58,0.67,0.72,0.74,0.0617960354715413,0.6375
