model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8075,0.76,0.79,0.82,0.86,0.0458162494951973,0.76,0.79,0.82,0.86,0.0369966214673718,0.6875
order_bias_gpt-4o_en,0.815,0.8,0.8,0.84,0.82,0.0203473913518735,0.8,0.8,0.84,0.82,0.0165831239517769,0.695
order_bias_mistral-small_en,0.785,0.73,0.81,0.81,0.79,0.0417671243586115,0.73,0.81,0.81,0.79,0.03278719262151,0.6775
order_bias_mistral-small_zh,0.735,0.73,0.76,0.76,0.69,0.0390786574594424,0.73,0.76,0.76,0.69,0.0287228132326901,0.665
order_bias_mistral-small_cot_en,0.77,0.72,0.79,0.79,0.78,0.0378633239925019,0.72,0.79,0.79,0.78,0.0291547594742265,0.6525
order_bias_mistral-small_cot_zh,0.74,0.67,0.77,0.76,0.76,0.0548921513826753,0.67,0.77,0.76,0.76,0.0406201920231797,0.625
new_0.2_order_bias_mistral-small_cot_en,0.735,0.69,0.75,0.76,0.74,0.0366337741981939,0.69,0.75,0.76,0.74,0.0269258240356725,0.65
new_0.2_order_bias_mistral-small_cot_zh,0.6675,0.6,0.7,0.7,0.67,0.0611990061362104,0.6,0.7,0.7,0.67,0.0408503365959204,0.6025
new_0.459_order_bias_mistral-small_cot_en,0.77,0.72,0.79,0.79,0.78,0.0378633239925019,0.72,0.79,0.79,0.78,0.0291547594742265,0.6525
new_0.459_order_bias_mistral-small_cot_zh,0.7425,0.68,0.77,0.76,0.76,0.0489085489775553,0.68,0.77,0.76,0.76,0.0363145976158348,0.6275
