model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.885,0.88,0.88,0.86,0.92,0.0246265477036196,0.88,0.88,0.86,0.92,0.0217944947177033,0.7175
order_bias_gpt-4o_en,0.92,0.92,0.91,0.93,0.92,0.0076859432737668,0.92,0.91,0.93,0.92,0.0070710678118654,0.725
order_bias_mistral-small_en,0.8375,0.81,0.84,0.86,0.84,0.0213176968016204,0.81,0.84,0.86,0.84,0.0178535710713571,0.6825
order_bias_mistral-small_zh,0.79,0.73,0.8,0.85,0.78,0.054445096626852,0.73,0.8,0.85,0.78,0.0430116263352131,0.6725
order_bias_mistral-small_cot_en,0.83,0.8,0.85,0.82,0.85,0.0255580764284294,0.8,0.85,0.82,0.85,0.0212132034355964,0.7075
order_bias_mistral-small_cot_zh,0.77,0.72,0.81,0.78,0.77,0.0420827318078432,0.72,0.81,0.78,0.77,0.0324037034920393,0.68
new_0.2_order_bias_mistral-small_cot_en,0.775,0.75,0.79,0.76,0.8,0.0266006814555978,0.75,0.79,0.76,0.8,0.0206155281280883,0.6975
new_0.2_order_bias_mistral-small_cot_zh,0.735,0.75,0.75,0.72,0.72,0.0204081632653061,0.75,0.75,0.72,0.72,0.015,0.6975
new_0.459_order_bias_mistral-small_cot_en,0.82,0.79,0.84,0.81,0.84,0.0258697602873126,0.79,0.84,0.81,0.84,0.0212132034355963,0.7075
new_0.459_order_bias_mistral-small_cot_zh,0.7725,0.74,0.81,0.77,0.77,0.0322002406830621,0.74,0.81,0.77,0.77,0.0248746859276655,0.6825
