model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.675,0.62,0.71,0.66,0.71,0.055924699520524,0.62,0.71,0.66,0.71,0.0377491721763537,0.6675
order_bias_gpt-4o_en,0.7475,0.7,0.74,0.76,0.79,0.0437347720087693,0.7,0.74,0.76,0.79,0.032691742076555,0.67
order_bias_mistral-small_en,0.58,0.55,0.58,0.61,0.58,0.0365744886820627,0.55,0.58,0.61,0.58,0.0212132034355964,0.615
order_bias_mistral-small_zh,0.4775,0.42,0.51,0.53,0.45,0.0929227191062767,0.42,0.51,0.53,0.45,0.0443705983732471,0.595
order_bias_mistral-small_cot_en,0.6225,0.56,0.6,0.64,0.69,0.0773548605793502,0.56,0.6,0.64,0.69,0.0481534007106455,0.625
order_bias_mistral-small_cot_zh,0.52,0.42,0.53,0.61,0.52,0.1297186304156927,0.42,0.53,0.61,0.52,0.0674536878161602,0.62
new_0.2_order_bias_mistral-small_cot_en,0.5625,0.49,0.58,0.57,0.61,0.0788810637746615,0.49,0.58,0.57,0.61,0.0443705983732471,0.61
new_0.2_order_bias_mistral-small_cot_zh,0.4175,0.36,0.44,0.47,0.4,0.0993001434238143,0.36,0.44,0.47,0.4,0.0414578098794424,0.5925
new_0.459_order_bias_mistral-small_cot_en,0.6325,0.57,0.62,0.65,0.69,0.0692546065926293,0.57,0.62,0.65,0.69,0.043803538669838,0.6225
new_0.459_order_bias_mistral-small_cot_zh,0.51,0.42,0.52,0.59,0.51,0.1184612350352408,0.42,0.52,0.59,0.51,0.0604152298679728,0.615
