model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.9175,0.91,0.92,0.93,0.91,0.0090371247693607,0.91,0.92,0.93,0.91,0.0082915619758885,0.7225
order_bias_gpt-4o_en,0.9275,0.93,0.92,0.92,0.94,0.0089396894618743,0.93,0.92,0.92,0.94,0.0082915619758884,0.7275
order_bias_mistral-small_en,0.835,0.83,0.85,0.84,0.82,0.0133896286077831,0.83,0.85,0.84,0.82,0.0111803398874989,0.6925
order_bias_mistral-small_zh,0.7925,0.77,0.81,0.82,0.77,0.0287395381045561,0.77,0.81,0.82,0.77,0.0227760839478607,0.655
order_bias_mistral-small_cot_en,0.8025,0.8,0.81,0.81,0.79,0.0103321644559358,0.8,0.81,0.81,0.79,0.0082915619758885,0.645
order_bias_mistral-small_cot_zh,0.775,0.72,0.8,0.82,0.76,0.0495557790185071,0.72,0.8,0.82,0.76,0.038405728739343,0.63
new_0.2_order_bias_mistral-small_cot_en,0.7925,0.79,0.8,0.79,0.79,0.0054638826737188,0.79,0.8,0.79,0.79,0.0043301270189221,0.645
new_0.2_order_bias_mistral-small_cot_zh,0.775,0.72,0.8,0.8,0.78,0.0423060549954968,0.72,0.8,0.8,0.78,0.03278719262151,0.6275
new_0.459_order_bias_mistral-small_cot_en,0.8025,0.8,0.81,0.81,0.79,0.0103321644559358,0.8,0.81,0.81,0.79,0.0082915619758885,0.645
new_0.459_order_bias_mistral-small_cot_zh,0.775,0.72,0.8,0.82,0.76,0.0495557790185071,0.72,0.8,0.82,0.76,0.038405728739343,0.63
