model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8875,0.9,0.89,0.87,0.89,0.012278588573354,0.9,0.89,0.87,0.89,0.0108972473588516,0.7025
order_bias_gpt-4o_en,0.94,0.93,0.94,0.94,0.95,0.0075224125658143,0.93,0.94,0.94,0.95,0.0070710678118654,0.725
order_bias_mistral-small_en,0.875,0.87,0.87,0.88,0.88,0.0057142857142857,0.87,0.87,0.88,0.88,0.005,0.695
order_bias_mistral-small_zh,0.775,0.75,0.76,0.82,0.77,0.0347429987557064,0.75,0.76,0.82,0.77,0.0269258240356724,0.6775
order_bias_mistral-small_cot_en,0.9075,0.89,0.91,0.92,0.91,0.0120079860703599,0.89,0.91,0.92,0.91,0.0108972473588516,0.715
order_bias_mistral-small_cot_zh,0.8125,0.76,0.82,0.85,0.82,0.0402359902480677,0.76,0.82,0.85,0.82,0.032691742076555,0.6875
new_0.2_order_bias_mistral-small_cot_en,0.89,0.88,0.89,0.9,0.89,0.007945020013332,0.88,0.89,0.9,0.89,0.0070710678118654,0.715
new_0.2_order_bias_mistral-small_cot_zh,0.785,0.72,0.83,0.8,0.79,0.0513519601802455,0.72,0.83,0.8,0.79,0.0403112887414927,0.6825
new_0.459_order_bias_mistral-small_cot_en,0.91,0.9,0.91,0.92,0.91,0.0077704041888631,0.9,0.91,0.92,0.91,0.0070710678118654,0.7175
new_0.459_order_bias_mistral-small_cot_zh,0.8075,0.76,0.82,0.84,0.81,0.0365010096673423,0.76,0.82,0.84,0.81,0.0294745653063789,0.6875
