model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8492647058823529,0.8264705882352941,0.8458823529411764,0.8523529411764705,0.8723529411764706,0.019290851561171,0.8264705882352941,0.8458823529411764,0.8523529411764705,0.8723529411764706,0.016383039377318,0.7011764705882353
order_bias_gpt-4o_en,0.8827941176470588,0.8658823529411764,0.8752941176470588,0.8923529411764706,0.8976470588235295,0.0144870082300496,0.8658823529411764,0.8752941176470588,0.8923529411764706,0.8976470588235295,0.0127890456477923,0.7130882352941177
order_bias_mistral-small_en,0.8104411764705882,0.7894117647058824,0.8170588235294117,0.8305882352941176,0.8047058823529412,0.0187619836752263,0.7894117647058824,0.8170588235294117,0.8305882352941176,0.8047058823529412,0.0152054841226724,0.6860294117647059
order_bias_mistral-small_zh,0.7333333333333333,0.698,0.746,0.7626666666666667,0.7266666666666667,0.0327966436500863,0.698,0.746,0.7626666666666667,0.7266666666666667,0.0240508720100632,0.6585
order_bias_mistral-small_cot_en,0.8094117647058824,0.7829411764705883,0.8129411764705883,0.8282352941176471,0.8135294117647058,0.0203423473870325,0.7829411764705883,0.8129411764705883,0.8282352941176471,0.8135294117647058,0.0164653352967981,0.679264705882353
order_bias_mistral-small_cot_zh,0.7486764705882353,0.6947058823529412,0.768235294117647,0.7823529411764706,0.7494117647058823,0.0444506924906497,0.6947058823529412,0.768235294117647,0.7823529411764706,0.7494117647058823,0.0332791875691026,0.6607352941176471
new_0.2_order_bias_mistral-small_cot_en,0.7666176470588235,0.75,0.7747058823529411,0.7788235294117647,0.7629411764705882,0.0146431592026723,0.75,0.7747058823529411,0.7788235294117647,0.7629411764705882,0.0112257042534604,0.6711764705882353
new_0.2_order_bias_mistral-small_cot_zh,0.6982352941176471,0.6623529411764706,0.7141176470588235,0.721764705882353,0.6947058823529412,0.0328613392836429,0.6623529411764706,0.7141176470588235,0.721764705882353,0.6947058823529412,0.0229449468998142,0.6544117647058824
new_0.459_order_bias_mistral-small_cot_en,0.8041176470588235,0.778235294117647,0.8076470588235294,0.8229411764705883,0.8076470588235294,0.0201403070928108,0.778235294117647,0.8076470588235294,0.8229411764705883,0.8076470588235294,0.0161951763505132,0.6795588235294118
new_0.459_order_bias_mistral-small_cot_zh,0.7438235294117647,0.6935294117647058,0.7635294117647059,0.7764705882352941,0.741764705882353,0.0424494079746617,0.6935294117647058,0.7635294117647059,0.7764705882352941,0.741764705882353,0.0315748684611528,0.6601470588235294
