model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.8075,0.78,0.81,0.81,0.83,0.0221096855372843,0.78,0.81,0.81,0.83,0.0178535710713571,0.7
order_bias_gpt-4o_en,0.8475,0.85,0.85,0.87,0.82,0.0210661605561736,0.85,0.85,0.87,0.82,0.0178535710713571,0.715
order_bias_mistral-small_en,0.7425,0.68,0.73,0.77,0.79,0.0566417637752886,0.68,0.73,0.77,0.79,0.0420565096031518,0.6575
order_bias_mistral-small_zh,0.6625,0.53,0.7,0.71,0.71,0.1156343656305249,0.53,0.7,0.71,0.71,0.0766077672302227,0.6075
order_bias_mistral-small_cot_en,0.755,0.73,0.75,0.78,0.76,0.0238778230163178,0.73,0.75,0.78,0.76,0.0180277563773199,0.6525
order_bias_mistral-small_cot_zh,0.665,0.56,0.72,0.7,0.68,0.0936082676540505,0.56,0.72,0.7,0.68,0.0622494979899436,0.595
new_0.2_order_bias_mistral-small_cot_en,0.715,0.71,0.7,0.73,0.72,0.015636839003495,0.71,0.7,0.73,0.72,0.0111803398874989,0.6525
new_0.2_order_bias_mistral-small_cot_zh,0.6225,0.53,0.68,0.65,0.63,0.0904283554152425,0.53,0.68,0.65,0.63,0.0562916512459885,0.595
new_0.459_order_bias_mistral-small_cot_en,0.755,0.73,0.75,0.77,0.77,0.0219644025851351,0.73,0.75,0.77,0.77,0.016583123951777,0.655
new_0.459_order_bias_mistral-small_cot_zh,0.6425,0.54,0.7,0.68,0.65,0.0961805999557064,0.54,0.7,0.68,0.65,0.0617960354715413,0.5925
