model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.91,0.89,0.91,0.93,0.91,0.0155408083777263,0.89,0.91,0.93,0.91,0.0141421356237309,0.7225
order_bias_gpt-4o_en,0.9325,0.91,0.93,0.93,0.96,0.0191459207199539,0.91,0.93,0.93,0.96,0.0178535710713571,0.73
order_bias_mistral-small_en,0.8525,0.84,0.85,0.88,0.84,0.019230024997953,0.84,0.85,0.88,0.84,0.016393596310755,0.7025
order_bias_mistral-small_zh,0.7575,0.75,0.78,0.76,0.74,0.0195250157858073,0.75,0.78,0.76,0.74,0.014790199457749,0.66
order_bias_mistral-small_cot_en,0.8175,0.81,0.83,0.85,0.78,0.0316332734947663,0.81,0.83,0.85,0.78,0.0258602010819714,0.6725
order_bias_mistral-small_cot_zh,0.76,0.74,0.74,0.78,0.78,0.0263157894736842,0.74,0.74,0.78,0.78,0.02,0.6675
new_0.2_order_bias_mistral-small_cot_en,0.7325,0.73,0.75,0.75,0.7,0.0279363575831824,0.73,0.75,0.75,0.7,0.0204633819296811,0.655
new_0.2_order_bias_mistral-small_cot_zh,0.6875,0.7,0.66,0.71,0.68,0.0279314390831585,0.7,0.66,0.71,0.68,0.0192028643696714,0.6625
new_0.459_order_bias_mistral-small_cot_en,0.7975,0.79,0.81,0.83,0.76,0.0324265844288043,0.79,0.81,0.83,0.76,0.0258602010819714,0.67
new_0.459_order_bias_mistral-small_cot_zh,0.76,0.74,0.74,0.78,0.78,0.0263157894736842,0.74,0.74,0.78,0.78,0.02,0.6675
