model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.82,0.77,0.83,0.82,0.86,0.0395167115756576,0.77,0.83,0.82,0.86,0.0324037034920392,0.6925
order_bias_gpt-4o_en,0.8675,0.84,0.89,0.86,0.88,0.022135866708555,0.84,0.89,0.86,0.88,0.0192028643696715,0.71
order_bias_mistral-small_en,0.8425,0.86,0.83,0.88,0.8,0.0359773164776918,0.86,0.83,0.88,0.8,0.0303108891324553,0.6975
order_bias_mistral-small_zh,,,,,,,,,,,,
order_bias_mistral-small_cot_en,0.82,0.8,0.83,0.86,0.79,0.0333977169210466,0.8,0.83,0.86,0.79,0.0273861278752582,0.685
order_bias_mistral-small_cot_zh,0.75,0.69,0.77,0.79,0.75,0.0498887651569859,0.69,0.77,0.79,0.75,0.0374165738677394,0.655
new_0.2_order_bias_mistral-small_cot_en,0.7975,0.81,0.8,0.82,0.76,0.028559352912678,0.81,0.8,0.82,0.76,0.0227760839478607,0.6825
new_0.2_order_bias_mistral-small_cot_zh,0.69,0.67,0.7,0.7,0.69,0.0177499256723418,0.67,0.7,0.7,0.69,0.0122474487139158,0.6475
new_0.459_order_bias_mistral-small_cot_en,0.81,0.79,0.82,0.85,0.78,0.0338100344138991,0.79,0.82,0.85,0.78,0.0273861278752582,0.6825
new_0.459_order_bias_mistral-small_cot_zh,0.7475,0.69,0.77,0.79,0.74,0.0503896962318373,0.69,0.77,0.79,0.74,0.0376662979332984,0.6525
