model_name,overall_accuracy,accuracy_A,accuracy_B,accuracy_C,accuracy_D,RSD,recall_A,recall_B,recall_C,recall_D,RStd,FluctuationRate
order_bias_gpt-4o_zh,0.875,0.85,0.87,0.89,0.89,0.0189521416591737,0.85,0.87,0.89,0.89,0.016583123951777,0.7
order_bias_gpt-4o_en,0.9525,0.94,0.94,0.96,0.97,0.013638195335188,0.94,0.94,0.96,0.97,0.0129903810567665,0.735
order_bias_mistral-small_en,0.885,0.9,0.87,0.9,0.87,0.0169491525423728,0.9,0.87,0.9,0.87,0.015,0.7175
order_bias_mistral-small_zh,,,,,,,,,,,,
order_bias_mistral-small_cot_en,0.875,0.87,0.88,0.86,0.89,0.0127775312999988,0.87,0.88,0.86,0.89,0.0111803398874989,0.7025
order_bias_mistral-small_cot_zh,0.82,0.81,0.8,0.86,0.81,0.0286000960964842,0.81,0.8,0.86,0.81,0.0234520787991171,0.6875
new_0.2_order_bias_mistral-small_cot_en,0.8075,0.82,0.79,0.82,0.8,0.016087159203426,0.82,0.79,0.82,0.8,0.0129903810567665,0.6875
new_0.2_order_bias_mistral-small_cot_zh,0.785,0.77,0.77,0.82,0.78,0.02626181927145,0.77,0.77,0.82,0.78,0.0206155281280882,0.6875
new_0.459_order_bias_mistral-small_cot_en,0.8725,0.86,0.87,0.87,0.89,0.0124896817866495,0.86,0.87,0.87,0.89,0.0108972473588516,0.7
new_0.459_order_bias_mistral-small_cot_zh,0.82,0.82,0.8,0.86,0.8,0.0298718261315021,0.82,0.8,0.86,0.8,0.0244948974278317,0.69
